date,value
2020-01-01,3134967.867876
2020-02-01,3125925.0997620095
2020-03-01,3079722.20775642
2020-04-01,3111307.01994674
2020-05-01,3121640.2610581294
2020-06-01,3132890.94428708
2020-07-01,3175529.57847756
2020-08-01,3185741.0473576295
2020-09-01,3163405.4723116
2020-10-01,3148891.68759846
2020-11-01,3199686.22344924
2020-12-01,3238782.37143371
2021-01-01,3232949.7605531495
2021-02-01,3227245.91756429
2021-03-01,3191634.6298325
2021-04-01,3220011.82696784
2021-05-01,3243778.69563898
2021-06-01,3235723.81319699
2021-07-01,3257656.75848476
2021-08-01,3295312.46211408
2021-09-01,3264064.26110895
2021-10-01,3281736.3474022094
2021-11-01,3286139.7658345895
2021-12-01,3313920.33062885
2022-01-01,3285770.43665788
2022-02-01,3278104.54653823
2022-03-01,3251625.7770107
2022-04-01,3182038.7253764
2022-05-01,3190404.2495826
2022-06-01,3133187.68327234
2022-07-01,3165993.70876725
2022-08-01,3116343.160474
2022-09-01,3089365.6205065
2022-10-01,3113218.61193976
2022-11-01,3178709.03740592
2022-12-01,3189689.10881378
2023-01-01,3247415.1921716
2023-02-01,3195596.16328912
2023-03-01,3247256.61966566
2023-04-01,3268238.79136729
2023-05-01,3239253.45951898
2023-06-01,3254813.12287221
2023-07-01,3265263.5798248
2023-08-01,3222723.0595268295
2023-09-01,3176997.44866201
2023-10-01,3163119.2476674095
2023-11-01,3234727.83368865
2023-12-01,3301319.72751898
2024-01-01,3282504.85198917
2024-02-01,3289057.62056344
2024-03-01,3308705.39678177
2024-04-01,3263670.21269403
2024-05-01,3295323.20777579
2024-06-01,3285272.784586
2024-07-01,3319868.86211514
2024-08-01,3352918.46865641
2024-09-01,3381380.83628322
2024-10-01,3324874.8773351894
2024-11-01,3328994.42805694
2024-12-01,3264803.86973912
