date,value
2020-01-01,846926
2020-02-01,864927
2020-03-01,866309
2020-04-01,909932
2020-05-01,895881
2020-06-01,904958
2020-07-01,923094
2020-08-01,914976
2020-09-01,909520
2020-10-01,915533
2020-11-01,860302
2020-12-01,879737
2021-01-01,880175
2021-02-01,848531
2021-03-01,849432
2021-04-01,852081
2021-05-01,885410
2021-06-01,869045
2021-07-01,888494
2021-08-01,1009405
2021-09-01,1002399
2021-10-01,1019527
2021-11-01,1045365
2021-12-01,1057044
2022-01-01,1056890
2022-02-01,1091969
2022-03-01,1102817
2022-04-01,1144218
2022-05-01,1108246
2022-06-01,1122091
2022-07-01,1129179
2022-08-01,1130624
2022-09-01,1135791
2022-10-01,1111890
2022-11-01,1115120
2022-12-01,1114269
2023-01-01,1125355
2023-02-01,1096091
