date,value
2020-01-01,1301939.80674899
2020-02-01,1318087.86372931
2020-03-01,1325252.22666024
2020-04-01,1323901.71682137
2020-05-01,1332801.15149282
2020-06-01,1336144.67662624
2020-07-01,1350518.31763368
2020-08-01,1346730.20810625
2020-09-01,1339755.69229297
2020-10-01,1334464.32818085
2020-11-01,1337596.48000086
2020-12-01,1344283.26456579
2021-01-01,1342338.1918903
2021-02-01,1332672.62129747
2021-03-01,1318667.41623525
2021-04-01,1326538.21051143
2021-05-01,1331958.35930171
2021-06-01,1324702.35380584
2021-07-01,1333027.04358182
2021-08-01,1371116.31518784
2021-09-01,1358141.20878488
2021-10-01,1352621.7099221
2021-11-01,1356676.61136886
2021-12-01,1356244.3084257
2022-01-01,1337102.90240263
2022-02-01,1332627.11218469
2022-03-01,1303245.90493931
2022-04-01,1270206.57821826
2022-05-01,1279639.89133155
2022-06-01,1261832.3178576
2022-07-01,1275342.15585904
2022-08-01,1245400.12059039
2022-09-01,1192584.02683909
2022-10-01,1149985.32513651
2022-11-01,1178636.98509101
2022-12-01,1178279.37146245
2023-01-01,1197897.57161447
2023-02-01,1176415.6631197
2023-03-01,1203213.34288581
2023-04-01,1211485.27851145
2023-05-01,1201091.33506523
2023-06-01,1195165.28695676
2023-07-01,1200070.46399789
2023-08-01,1198341.38055068
2023-09-01,1186370.15406393
2023-10-01,1183683.37329491
2023-11-01,1214344.2102911
2023-12-01,1238541.06344621
2024-01-01,1235945.27645905
2024-02-01,1225778.80943739
2024-03-01,1230377.1355098
2024-04-01,1216227.94337121
2024-05-01,1167701.97725895
2024-06-01,1168095.82747018
2024-07-01,1153084.38114412
2024-08-01,1167387.73306644
2024-09-01,1183364.81265658
2024-10-01,1164583.78217395
2024-11-01,1166892.4381609
2024-12-01,1159702.3790689
