date,value
2020-01-01,-0.032
2020-02-01,-0.016
2020-03-01,-0.047
2020-04-01,-0.0359999999999999
2020-05-01,-0.047
2020-06-01,-0.048
2020-07-01,-0.0279999999999999
2020-08-01,-0.035
2020-09-01,-0.0539999999999999
2020-10-01,-0.02
2020-11-01,-0.032
2020-12-01,-0.0259999999999999
2021-01-01,-0.017
2021-02-01,-0.016
2021-03-01,-0.017
2021-04-01,-0.012
2021-05-01,-0.017
2021-06-01,-0.0289999999999999
2021-07-01,-0.0359999999999999
2021-08-01,-0.034
2021-09-01,-0.0219999999999999
2021-10-01,-0.0269999999999999
2021-11-01,-0.0389999999999999
2021-12-01,-0.0259999999999999
2022-01-01,-0.02
2022-02-01,-0.0179999999999999
2022-03-01,-0.008
2022-04-01,-0.012
2022-05-01,-0.0179999999999999
2022-06-01,-0.0379999999999999
2022-07-01,-0.012
2022-08-01,-0.0179999999999999
2022-09-01,-0.049
2022-10-01,-0.05
2022-11-01,-0.067
2022-12-01,-0.07
2023-01-01,-0.02
2023-02-01,-0.0189999999999999
2023-03-01,-0.017
2023-04-01,-0.0149999999999999
2023-05-01,-0.0509999999999999
2023-06-01,-0.066
2023-07-01,-0.0459999999999999
2023-08-01,-0.064
2023-09-01,-0.0539999999999999
2023-10-01,-0.02
2023-11-01,-0.0149999999999999
2023-12-01,-0.012
2024-01-01,-0.0139999999999998
2024-02-01,-0.006
2024-03-01,0.0219999999999999
2024-04-01,0.0769999999999999
2024-05-01,0.0769999999999999
2024-06-01,0.0769999999999999
2024-07-01,0.0779999999999999
2024-08-01,0.2269999999999998
2024-09-01,0.2269999999999998
2024-10-01,0.2269999999999998
2024-11-01,0.2269999999999998
2024-12-01,0.2269999999999998
