date,value
2020-01-01,153576.134878052
2020-02-01,150949.431397431
2020-03-01,154166.576163856
2020-04-01,156418.086866867
2020-05-01,157193.081759707
2020-06-01,155407.540026542
2020-07-01,158234.044397862
2020-08-01,157126.048980444
2020-09-01,150461.370877343
2020-10-01,153225.958963514
2020-11-01,161108.143201823
2020-12-01,161188.410120185
2021-01-01,154989.456246086
2021-02-01,153876.66759511
2021-03-01,154220.474663911
2021-04-01,154415.134440787
2021-05-01,152301.905167645
2021-06-01,149929.821627598
2021-07-01,151378.810768585
2021-08-01,174061.397625754
2021-09-01,175878.798003056
2021-10-01,174753.479796724
2021-11-01,175058.294888743
2021-12-01,176024.004961702
2022-01-01,168394.734590176
2022-02-01,169052.580929296
2022-03-01,171196.649348115
2022-04-01,161830.050414685
2022-05-01,159669.577956886
2022-06-01,156970.587848744
2022-07-01,154458.487457606
2022-08-01,153637.234053767
2022-09-01,143168.419872657
2022-10-01,147883.951063842
2022-11-01,155708.311898185
2022-12-01,158329.888611581
2023-01-01,157178.426346746
2023-02-01,150887.549918124
2023-03-01,153635.179866158
2023-04-01,155736.027271694
2023-05-01,151735.733463413
2023-06-01,154203.902263756
2023-07-01,158791.92242353
2023-08-01,157474.646905291
2023-09-01,151702.348915826
2023-10-01,151405.668687485
2023-11-01,154558.623754431
2023-12-01,157340.769137404
2024-01-01,153809.638860369
2024-02-01,152818.443347572
2024-03-01,153682.722633046
2024-04-01,147978.210397509
2024-05-01,151761.359534591
2024-06-01,149466.124302346
2024-07-01,152868.164714553
2024-08-01,155334.369659826
2024-09-01,154515.2862688
2024-10-01,150987.838326147
2024-11-01,151038.613797078
2024-12-01,148569.354566836
