date,value
2020-01-01,112.8
2020-02-01,113.7
2020-03-01,112.3
2020-04-01,111.3
2020-05-01,110.4
2020-06-01,110.4
2020-07-01,110.0
2020-08-01,111.5
2020-09-01,111.7
2020-10-01,111.4
2020-11-01,110.7
2020-12-01,111.5
2021-01-01,112.55
2021-02-01,113.2193
2021-03-01,112.6615
2021-04-01,112.3269
2021-05-01,112.2154
2021-06-01,111.7692
2021-07-01,112.1038
2021-08-01,112.2154
2021-09-01,112.2154
2021-10-01,112.9962
2021-11-01,113.4424
2021-12-01,113.1077
2022-01-01,113.6655
2022-02-01,114.3347
2022-03-01,114.3347
2022-04-01,114.7809
2022-05-01,114.5578
2022-06-01,114.5578
2022-07-01,115.1156
2022-08-01,115.004
2022-09-01,115.3387
2022-10-01,115.4502
2022-11-01,115.2271
2022-12-01,115.1156
2023-01-01,116.0079
2023-02-01,115.4502
2023-03-01,115.1156
2023-04-01,114.8925
2023-05-01,114.7809
2023-06-01,114.5578
2023-07-01,114.7809
2023-08-01,115.1156
2023-09-01,115.3387
2023-10-01,115.2271
2023-11-01,114.6694
2023-12-01,114.7809
2024-01-01,115.004
2024-02-01,116.231
2024-03-01,115.2271
2024-04-01,115.1156
2024-05-01,115.1156
2024-06-01,114.7809
2024-07-01,115.3387
2024-08-01,115.7848
2024-09-01,115.7848
2024-10-01,115.5617
2024-11-01,114.8925
2024-12-01,114.8925
