date,value
2020-01-01,104.2644
2020-02-01,103.5199
2020-03-01,102.9239
2020-04-01,102.1669
2020-05-01,101.6224
2020-06-01,101.4036
2020-07-01,101.7326
2020-08-01,102.2206
2020-09-01,102.8876
2020-10-01,103.4397
2020-11-01,103.804
2020-12-01,103.9282
2021-01-01,104.0904
2021-02-01,104.2181
2021-03-01,103.9309
2021-04-01,103.644
2021-05-01,103.4487
2021-06-01,103.1939
2021-07-01,102.7696
2021-08-01,102.6541
2021-09-01,102.8737
2021-10-01,103.0297
2021-11-01,103.1635
2021-12-01,103.3074
2022-01-01,103.1453
2022-02-01,101.9577
2022-03-01,99.2808
2022-04-01,95.80207
2022-05-01,93.8969
2022-06-01,93.34024
2022-07-01,93.24099
2022-08-01,93.21424
2022-09-01,93.18738
2022-10-01,93.16306
2022-11-01,93.30472
2022-12-01,93.84357
2023-01-01,94.55602
2023-02-01,95.0454
2023-03-01,94.87959
2023-04-01,94.12747
2023-05-01,93.58338
2023-06-01,93.23303
2023-07-01,93.11995
2023-08-01,93.1683
2023-09-01,93.29594
2023-10-01,93.39536
2023-11-01,93.41125
2023-12-01,93.44626
