date,value
2020-01-01,99.03683
2020-02-01,98.28284
2020-03-01,96.92022
2020-04-01,95.69758
2020-05-01,95.46436
2020-06-01,95.89619
2020-07-01,96.4416
2020-08-01,96.9056
2020-09-01,97.31589
2020-10-01,97.51375
2020-11-01,97.48475
2020-12-01,97.32553
2021-01-01,97.32765
2021-02-01,97.69778
2021-03-01,98.06157
2021-04-01,98.21864
2021-05-01,98.32776
2021-06-01,98.55759
2021-07-01,98.73059
2021-08-01,98.83421
2021-09-01,98.98501
2021-10-01,99.16047
2021-11-01,99.21279
2021-12-01,99.05021
2022-01-01,98.66702
2022-02-01,98.19636
2022-03-01,97.74454
2022-04-01,97.505
2022-05-01,97.38676
2022-06-01,97.22652
2022-07-01,97.09911
2022-08-01,97.09336
2022-09-01,97.00058
2022-10-01,96.89653
2022-11-01,96.85
2022-12-01,96.94454
2023-01-01,97.10548
2023-02-01,97.36208
2023-03-01,97.76901
2023-04-01,98.14967
2023-05-01,98.40277
2023-06-01,98.53342
2023-07-01,98.56457
2023-08-01,98.46131
2023-09-01,98.34671
2023-10-01,98.35806
2023-11-01,98.48705
2023-12-01,98.70564
2024-01-01,98.94688
