date,value
2020-01-01,100.8434
2020-02-01,100.4913
2020-03-01,99.44043
2020-04-01,97.92415
2020-05-01,97.18063
2020-06-01,97.31718
2020-07-01,97.80187
2020-08-01,98.007
2020-09-01,97.83266
2020-10-01,97.50163
2020-11-01,97.40619
2020-12-01,97.80963
2021-01-01,98.38744
2021-02-01,99.43591
2021-03-01,100.715
2021-04-01,101.7222
2021-05-01,102.4912
2021-06-01,102.837
2021-07-01,102.7825
2021-08-01,102.2766
2021-09-01,101.437
2021-10-01,100.7414
2021-11-01,100.4186
2021-12-01,99.94845
2022-01-01,98.95043
2022-02-01,97.46562
2022-03-01,95.94691
2022-04-01,94.66597
2022-05-01,93.90968
2022-06-01,93.49792
2022-07-01,93.16212
2022-08-01,92.64215
2022-09-01,92.21105
2022-10-01,92.31344
2022-11-01,92.73724
2022-12-01,93.14101
2023-01-01,93.57465
2023-02-01,94.39042
2023-03-01,95.30563
2023-04-01,96.34989
2023-05-01,97.20181
2023-06-01,97.65595
2023-07-01,97.65241
2023-08-01,97.83019
2023-09-01,97.89356
2023-10-01,97.69367
2023-11-01,97.98371
2023-12-01,98.47791
2024-01-01,99.07277
