date,value
2020-01-01,101.5921
2020-02-01,101.1732
2020-03-01,100.1966
2020-04-01,99.13439
2020-05-01,98.6451
2020-06-01,98.59637
2020-07-01,98.6133
2020-08-01,98.81078
2020-09-01,99.11648
2020-10-01,99.26201
2020-11-01,99.21984
2020-12-01,99.22284
2021-01-01,99.2288
2021-02-01,99.36539
2021-03-01,99.72382
2021-04-01,99.96289
2021-05-01,99.90543
2021-06-01,99.70004
2021-07-01,99.24198
2021-08-01,98.68501
2021-09-01,98.3926
2021-10-01,98.20995
2021-11-01,98.05109
2021-12-01,97.95181
2022-01-01,97.72173
2022-02-01,97.42072
2022-03-01,97.18818
2022-04-01,97.02539
2022-05-01,96.62722
2022-06-01,96.22865
2022-07-01,96.20132
2022-08-01,96.46188
2022-09-01,96.67612
2022-10-01,96.78831
2022-11-01,96.854
2022-12-01,97.06937
2023-01-01,97.35186
2023-02-01,97.46672
2023-03-01,97.35742
2023-04-01,97.26667
2023-05-01,97.268
2023-06-01,97.55695
2023-07-01,97.89566
2023-08-01,97.937
2023-09-01,97.7463
2023-10-01,97.51254
2023-11-01,97.56221
2023-12-01,98.1097
2024-01-01,98.91297
