date,value
2020-01-01,101.3372
2020-02-01,101.6718
2020-03-01,97.606
2020-04-01,84.6812
2020-05-01,86.0108
2020-06-01,91.6745
2020-07-01,95.0037
2020-08-01,95.9294
2020-09-01,95.8914
2020-10-01,96.5256
2020-11-01,96.9529
2020-12-01,98.2039
2021-01-01,98.8135
2021-02-01,95.5072
2021-03-01,98.1929
2021-04-01,98.3317
2021-05-01,99.1867
2021-06-01,99.6483
2021-07-01,100.0668
2021-08-01,100.0412
2021-09-01,98.9955
2021-10-01,100.3542
2021-11-01,101.2684
2021-12-01,101.1948
2022-01-01,101.2146
2022-02-01,101.8458
2022-03-01,102.6732
2022-04-01,102.9024
2022-05-01,102.9659
2022-06-01,102.8224
2022-07-01,103.0505
2022-08-01,103.1703
2022-09-01,103.5326
2022-10-01,103.4442
2022-11-01,103.1058
2022-12-01,101.8266
2023-01-01,102.7476
2023-02-01,102.8003
2023-03-01,102.8143
2023-04-01,103.2241
2023-05-01,102.9809
2023-06-01,102.3809
2023-07-01,103.0722
2023-08-01,103.0951
2023-09-01,103.3081
2023-10-01,102.5781
2023-11-01,102.8868
2023-12-01,102.6309
2024-01-01,101.483
2024-02-01,102.7267
2024-03-01,102.5186
2024-04-01,102.3568
2024-05-01,102.9797
2024-06-01,103.2534
2024-07-01,102.5192
2024-08-01,103.0196
2024-09-01,102.5954
2024-10-01,102.2138
2024-11-01,101.9503
2024-12-01,103.0447
